bvid,bullet_content,bullet_entry,bullet_time,bullet_crawler_time
BV1E14y1v724,散热,4.54000,2022-09-16 18:26:30,2022-09-16 20:41:45
BV1E14y1v724,散热吗？,15.69800,2022-09-16 17:03:22,2022-09-16 20:41:45
BV1E14y1v724,地下电机,22.35300,2022-09-16 14:18:53,2022-09-16 20:41:45
BV1E14y1v724,防止小孩误食,4.30700,2022-09-16 13:36:06,2022-09-16 20:41:45
BV1E14y1v724,空调∶还得是我,72.05000,2022-09-16 13:03:47,2022-09-16 20:41:45
BV1E14y1v724,那个是音箱,39.53700,2022-09-16 08:24:36,2022-09-16 20:41:45
BV1E14y1v724,应为步进电机是3D打印机最重要的部件啊,31.42000,2022-09-16 00:37:10,2022-09-16 20:41:45
BV1E14y1v724,还用步进电机？用伺服啊,56.62400,2022-09-16 00:31:13,2022-09-16 20:41:45
BV1E14y1v724,果然是降温用的,62.05500,2022-09-16 00:12:13,2022-09-16 20:41:45
BV1E14y1v724,我以为是给兵哥的,69.94300,2022-09-15 22:41:44,2022-09-16 20:41:45
BV1E14y1v724,我说为啥学校里升旗一直是耷拉着的,48.17900,2022-09-15 22:14:51,2022-09-16 20:41:45
BV1E14y1v724,大哥，鼓风机是吹旗的啊,64.57900,2022-09-15 21:58:16,2022-09-16 20:41:45
BV1E14y1v724,电子升降机,13.98100,2022-09-15 16:20:34,2022-09-16 20:41:45
BV1E14y1v724,应该是防止小孩误食,17.45900,2022-09-15 13:17:47,2022-09-16 20:41:45
BV1E14y1v724,防止小孩误食,0.49900,2022-09-15 12:03:03,2022-09-16 20:41:45
BV1E14y1v724,盲猜给旗杆通风的,13.54500,2022-09-15 10:09:58,2022-09-16 20:41:45
BV1E14y1v724,那为什么要用电动的呢？,7.64400,2022-09-16 14:58:45,2022-09-16 20:41:45
BV1E14y1v724,什么牌子的空调,19.07500,2022-09-16 14:20:37,2022-09-16 20:41:45
BV1E14y1v724,军队的很多装备都是在恒温状态下工作的,0.81000,2022-09-16 12:25:11,2022-09-16 20:41:45
